City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,68.54,light rain,-33.5906,26.891,The Halyards Hotel
10,Bima,ID,76.59,overcast clouds,-8.4667,118.7167,Lambitu Hotel
11,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
13,Sharjah,AE,70.25,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
17,Mufumbwe,ZM,63.32,overcast clouds,-13.6833,24.8,
18,Atuona,PF,78.76,light rain,-9.8,-139.0333,Villa Enata
19,Caravelas,BR,77.0,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
20,Rikitea,PF,78.44,light rain,-23.1203,-134.9692,People ThankYou
23,Busselton,AU,65.08,clear sky,-33.65,115.3333,Observatory Guest House
25,Carmen,MX,78.84,mist,18.6333,-91.8333,Hotel Lossandes
27,Qandala,SO,74.48,clear sky,11.472,49.8728,
29,Hualmay,PE,73.74,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
32,Sao Joao Da Barra,BR,76.6,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
36,Bengkulu,ID,73.02,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
37,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Bredasdorp,ZA,65.52,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
47,Dabakala,CI,79.83,clear sky,8.3667,-4.4333,Hôtel Campement
48,Ponta Do Sol,PT,65.71,overcast clouds,32.6667,-17.1,Hotel do Campo
49,Mar Del Plata,AR,70.09,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
50,Kruisfontein,ZA,63.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
51,Hermanus,ZA,63.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Catuday,PH,75.43,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
54,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
56,Cidreira,BR,72.09,overcast clouds,-30.1811,-50.2056,Hotel Castelo
57,New Norfolk,AU,64.65,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
58,Bowen,AU,79.02,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
59,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
60,Kavaratti,IN,78.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
61,Butaritari,KI,82.51,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Fortuna,US,61.41,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
65,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
66,Sao Jose Da Coroa Grande,BR,79.63,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
67,Kapaa,US,80.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
70,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Flinders,AU,70.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
74,Castro,BR,67.59,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
81,Tiznit,MA,63.28,overcast clouds,29.5833,-9.5,
83,Chuy,UY,73.67,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Progreso,MX,84.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
86,Lebu,CL,61.5,clear sky,-37.6167,-73.65,Hostal Las Lilas
87,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
88,Port Elizabeth,ZA,66.49,broken clouds,-33.918,25.5701,39 On Nile Guest House
90,Karratha,AU,84.04,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
92,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
93,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
94,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
95,Fare,PF,80.44,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
96,Cape Town,ZA,65.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
99,Champerico,GT,93.74,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
102,Huarmey,PE,74.77,few clouds,-10.0681,-78.1522,Hotel Miramar
103,Neiafu,TO,80.55,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
104,Esperance,AU,62.44,clear sky,-33.8667,121.9,Hospitality Esperance
105,East London,ZA,68.83,light rain,-33.0153,27.9116,Tu Casa
107,Faanui,PF,80.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
109,Whitianga,NZ,79.02,scattered clouds,-36.8333,175.7,Beachside Resort Whitianga
112,Lorengau,PG,82.09,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
115,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
120,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
124,Najran,SA,66.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
125,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
126,Balabac,PH,79.79,moderate rain,7.9868,117.0645,Sing and Swing Lodge
127,Salinopolis,BR,78.78,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
128,Hilo,US,79.61,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
130,Meulaboh,ID,75.47,overcast clouds,4.1363,96.1285,Kost Pria
132,Bethlehem,BR,77.04,moderate rain,-1.4558,-48.5044,Mercure Belém Boulevard
134,Lethem,GY,83.7,broken clouds,3.3803,-59.7968,Savannah Inn
136,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
139,Vaini,TO,78.89,moderate rain,-21.2,-175.2,Keleti Beach Resort
142,Oriximina,BR,77.04,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
149,Richards Bay,ZA,71.87,heavy intensity rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
151,Namatanai,PG,83.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
153,Adrar,MR,66.54,scattered clouds,20.5022,-10.0711,
154,Coihaique,CL,75.15,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
155,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Hostel Del Puerto
156,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
158,Soeng Sang,TH,64.31,few clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
160,Vila Franca Do Campo,PT,61.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
161,Tecoanapa,MX,80.87,clear sky,16.5167,-98.75,Hotel Manglares
163,Chokwe,MZ,77.16,few clouds,-24.5333,32.9833,Complexo Sonho Real
