City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,2022-02-04 22:26:32,-33.5906,26.891,68.54,79,100,6.64,light rain
1,Dali,CN,2022-02-04 22:26:32,25.7,100.1833,40.14,80,0,2.62,clear sky
2,Clyde River,CA,2022-02-04 22:26:33,70.4692,-68.5914,-7.37,77,100,8.05,light snow
3,Selcuk,TR,2022-02-04 22:26:33,37.9514,27.3685,47.01,76,3,5.53,clear sky
4,Kodiak,US,2022-02-04 22:20:21,57.79,-152.4072,36.91,75,100,4.61,overcast clouds
5,Cherskiy,RU,2022-02-04 22:17:41,68.75,161.3,-34.8,98,13,3.98,few clouds
6,Jamestown,US,2022-02-04 22:22:07,42.097,-79.2353,22.32,63,100,3.0,mist
7,Eureka,US,2022-02-04 22:26:34,40.8021,-124.1637,56.19,78,98,7.0,overcast clouds
8,Albany,US,2022-02-04 22:26:01,42.6001,-73.9662,22.68,87,100,1.99,snow
9,Sobolevo,RU,2022-02-04 22:26:34,54.4299,31.8996,-2.4,100,100,4.03,overcast clouds
10,Bima,ID,2022-02-04 22:26:34,-8.4667,118.7167,76.59,93,91,0.49,overcast clouds
11,Hithadhoo,MV,2022-02-04 22:20:17,-0.6,73.0833,81.54,74,80,11.81,broken clouds
12,Bethel,US,2022-02-04 22:23:43,41.3712,-73.414,34.16,88,100,5.75,moderate rain
13,Sharjah,AE,2022-02-04 22:26:35,25.3573,55.4033,70.25,70,0,4.61,clear sky
14,Leua,SK,2022-02-04 22:26:35,48.2156,18.6071,38.35,83,100,1.48,overcast clouds
15,Sitka,US,2022-02-04 22:26:36,57.0531,-135.33,42.69,87,100,6.91,mist
16,Zhezkazgan,KZ,2022-02-04 22:26:36,47.8043,67.7144,6.03,81,50,11.5,scattered clouds
17,Mufumbwe,ZM,2022-02-04 22:26:36,-13.6833,24.8,63.32,98,100,3.31,overcast clouds
18,Atuona,PF,2022-02-04 22:20:18,-9.8,-139.0333,78.76,77,25,17.27,light rain
19,Caravelas,BR,2022-02-04 22:26:37,-17.7125,-39.2481,77.0,88,100,7.23,overcast clouds
20,Rikitea,PF,2022-02-04 22:16:13,-23.1203,-134.9692,78.44,71,12,7.72,light rain
21,Ushuaia,AR,2022-02-04 22:17:11,-54.8,-68.3,53.26,54,0,17.27,clear sky
22,Tiksi,RU,2022-02-04 22:23:04,71.6872,128.8694,-20.42,98,100,7.43,overcast clouds
23,Busselton,AU,2022-02-04 22:16:14,-33.65,115.3333,65.08,49,0,3.53,clear sky
24,Hof,DE,2022-02-04 22:26:38,50.3167,11.9167,40.78,89,75,16.11,light rain
25,Carmen,MX,2022-02-04 22:26:38,18.6333,-91.8333,78.84,83,75,10.36,mist
26,Victoria,HK,2022-02-04 22:26:38,22.2855,114.1577,58.24,80,98,3.0,overcast clouds
27,Qandala,SO,2022-02-04 22:26:38,11.472,49.8728,74.48,59,5,3.2,clear sky
28,Muros,ES,2022-02-04 22:26:39,42.7762,-9.0603,51.98,88,85,10.16,overcast clouds
29,Hualmay,PE,2022-02-04 22:26:39,-11.0964,-77.6139,73.74,75,21,10.65,few clouds
30,Taiyuan,CN,2022-02-04 22:26:39,37.8694,112.5603,10.26,61,0,2.24,clear sky
31,Algiers,DZ,2022-02-04 22:22:14,36.7525,3.042,48.02,71,0,0.0,clear sky
32,Sao Joao Da Barra,BR,2022-02-04 22:25:26,-21.6403,-41.0511,76.6,84,38,21.47,scattered clouds
33,Nikolskoye,RU,2022-02-04 22:26:40,59.7035,30.7861,19.29,92,80,10.76,broken clouds
34,San Patricio,US,2022-02-04 22:26:40,28.017,-97.5169,46.81,48,69,18.63,broken clouds
35,Imeni Poliny Osipenko,RU,2022-02-04 22:26:41,52.4201,136.4853,-0.44,95,100,4.27,overcast clouds
36,Bengkulu,ID,2022-02-04 22:20:18,-3.8004,102.2655,73.02,95,100,5.17,light rain
37,Mahebourg,MU,2022-02-04 22:22:55,-20.4081,57.7,79.25,89,75,16.11,broken clouds
38,Punta Arenas,CL,2022-02-04 22:17:24,-53.15,-70.9167,57.22,62,0,8.05,clear sky
39,Chapais,CA,2022-02-04 22:25:14,49.7834,-74.8492,-6.02,92,97,3.49,overcast clouds
40,Maniitsoq,GL,2022-02-04 22:26:41,65.4167,-52.9,7.14,71,100,16.87,overcast clouds
41,Zyryanka,RU,2022-02-04 22:26:42,65.75,150.85,-40.49,100,99,2.75,overcast clouds
42,Togur,RU,2022-02-04 22:26:42,58.3631,82.8265,20.62,84,100,11.52,overcast clouds
43,Bredasdorp,ZA,2022-02-04 22:26:42,-34.5322,20.0403,65.52,63,13,10.36,few clouds
44,Ribeira Grande,PT,2022-02-04 22:22:11,38.5167,-28.7,59.38,82,84,15.21,broken clouds
45,Tuktoyaktuk,CA,2022-02-04 22:26:43,69.4541,-133.0374,-23.8,76,0,18.41,clear sky
46,Barrow,US,2022-02-04 22:23:42,71.2906,-156.7887,-25.58,75,100,9.22,haze
47,Dabakala,CI,2022-02-04 22:27:43,8.3667,-4.4333,79.83,12,5,2.1,clear sky
48,Ponta Do Sol,PT,2022-02-04 22:27:44,32.6667,-17.1,65.71,68,100,1.21,overcast clouds
49,Mar Del Plata,AR,2022-02-04 22:27:44,-38.0023,-57.5575,70.09,87,75,1.01,moderate rain
50,Kruisfontein,ZA,2022-02-04 22:27:44,-34.0033,24.7314,63.88,71,100,6.26,overcast clouds
51,Hermanus,ZA,2022-02-04 22:27:45,-34.4187,19.2345,63.81,67,0,19.24,clear sky
52,Dikson,RU,2022-02-04 22:17:32,73.5069,80.5464,-4.45,95,100,6.35,overcast clouds
53,Catuday,PH,2022-02-04 22:27:45,16.2923,119.8062,75.43,78,44,9.15,scattered clouds
54,Port Blair,IN,2022-02-04 22:27:45,11.6667,92.75,75.24,94,40,2.3,mist
55,Saskylakh,RU,2022-02-04 22:20:27,71.9167,114.0833,-6.32,99,100,5.64,light snow
56,Cidreira,BR,2022-02-04 22:27:46,-30.1811,-50.2056,72.09,95,100,2.86,overcast clouds
57,New Norfolk,AU,2022-02-04 22:27:46,-42.7826,147.0587,64.65,71,39,1.01,scattered clouds
58,Bowen,AU,2022-02-04 22:27:46,-20.0167,148.2333,79.02,77,100,17.87,overcast clouds
59,Avarua,CK,2022-02-04 22:27:47,-21.2078,-159.775,84.25,70,20,17.27,few clouds
60,Kavaratti,IN,2022-02-04 22:23:58,10.5669,72.642,78.12,60,98,6.11,overcast clouds
61,Butaritari,KI,2022-02-04 22:23:06,3.0707,172.7902,82.51,75,19,19.28,light rain
62,Fortuna,US,2022-02-04 22:24:23,40.5982,-124.1573,61.41,78,0,1.99,clear sky
63,College,US,2022-02-04 22:25:05,64.8569,-147.8028,5.58,61,75,0.0,broken clouds
64,Thompson,CA,2022-02-04 22:19:00,55.7435,-97.8558,-9.24,59,20,8.05,few clouds
65,Hobart,AU,2022-02-04 22:20:20,-42.8794,147.3294,64.26,83,75,8.05,broken clouds
66,Sao Jose Da Coroa Grande,BR,2022-02-04 22:27:48,-8.8978,-35.1478,79.63,69,26,9.55,scattered clouds
67,Kapaa,US,2022-02-04 22:20:27,22.0752,-159.319,80.11,71,0,1.99,clear sky
68,Salekhard,RU,2022-02-04 22:24:14,66.53,66.6019,4.28,97,100,1.95,overcast clouds
69,Arraial Do Cabo,BR,2022-02-04 22:27:48,-22.9661,-42.0278,76.96,94,40,11.5,scattered clouds
70,Saint-Philippe,RE,2022-02-04 22:27:48,-21.3585,55.7679,80.15,86,100,25.61,moderate rain
71,Altay,CN,2022-02-04 22:27:49,47.8667,88.1167,6.3,54,0,8.9,clear sky
72,Mataura,NZ,2022-02-04 22:23:35,-46.1927,168.8643,56.48,68,93,2.68,overcast clouds
73,Flinders,AU,2022-02-04 22:20:20,-34.5833,150.8552,70.38,72,92,11.01,overcast clouds
74,Castro,BR,2022-02-04 22:27:49,-24.7911,-50.0119,67.59,94,99,6.42,overcast clouds
75,Belaya Gora,RU,2022-02-04 22:24:50,68.5333,146.4167,-39.35,100,48,1.03,scattered clouds
76,Gracac,HR,2022-02-04 22:27:50,44.3006,15.8547,43.38,87,95,2.82,overcast clouds
77,Leningradskiy,RU,2022-02-04 22:27:50,69.3833,178.4167,-14.21,89,45,9.48,scattered clouds
